id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
NE;NORDESTE;2026-04-09;12175.635;107.077;12109.622;106.4965
S;SUL;2026-04-09;3629.561;55.4909;3216.057;49.169
SE;SUDESTE;2026-04-09;49957.997;91.0782;45578.806;83.0945
N;NORTE;2026-04-10;23217.988;85.4439;14224.904;52.3487
NE;NORDESTE;2026-04-10;12167.418;107.0048;12093.414;106.3539
S;SUL;2026-04-10;3472.592;53.091;3047.939;46.5987
SE;SUDESTE;2026-04-10;49770.932;90.7371;45738.417;83.3855
N;NORTE;2026-04-11;22495.363;82.7846;14428.81;53.0991
NE;NORDESTE;2026-04-11;12124.147;106.6242;12050.519;105.9767
S;SUL;2026-04-11;3344.558;51.1336;2921.55;44.6664
SE;SUDESTE;2026-04-11;49383.453;90.0307;43544.518;79.3858
N;NORTE;2026-04-12;21794.395;80.205;13609.934;50.0856
NE;NORDESTE;2026-04-12;11999.107;105.5246;11950.201;105.0945
S;SUL;2026-04-12;3450.55;52.7541;2902.808;44.3798
SE;SUDESTE;2026-04-12;48859.072;89.0747;43421.924;79.1623
N;NORTE;2026-04-13;21207.476;78.0451;12865.789;47.3471
NE;NORDESTE;2026-04-13;11799.21;103.7666;11777.045;103.5717
S;SUL;2026-04-13;3699.179;56.5552;3365.98;51.4611
SE;SUDESTE;2026-04-13;48074.923;87.6452;44192.971;80.568
N;NORTE;2026-04-14;20623.573;75.8963;12920.188;47.5473
NE;NORDESTE;2026-04-14;11472.599;100.8943;11453.294;100.7245
S;SUL;2026-04-14;3662.385;55.9927;3188.277;48.7443
SE;SUDESTE;2026-04-14;47256.17;86.1525;42902.215;78.2148
N;NORTE;2026-04-15;20085.896;73.9176;13476.956;49.5962
NE;NORDESTE;2026-04-15;11160.603;98.1505;10999.302;96.7319
S;SUL;2026-04-15;3430.857;52.453;3037.964;46.4462
SE;SUDESTE;2026-04-15;46222.666;84.2683;42049.545;76.6603
N;NORTE;2026-04-16;19823.2;72.9509;13272.202;48.8427
NE;NORDESTE;2026-04-16;10836.264;95.2981;10824.109;95.1912
S;SUL;2026-04-16;3121.342;47.7209;2774.036;42.4111
SE;SUDESTE;2026-04-16;45452.233;82.8637;40357.666;73.5759
N;NORTE;2026-04-17;19571.961;72.0263;13238.086;48.7172
NE;NORDESTE;2026-04-17;10448.139;91.8848;10435.984;91.7779
S;SUL;2026-04-17;2799.415;42.7991;2517.729;38.4925
SE;SUDESTE;2026-04-17;44871.669;81.8053;39877.645;72.7007
N;NORTE;2026-04-18;19416.865;71.4555;12819.978;47.1785
NE;NORDESTE;2026-04-18;10007.951;88.0136;9987.216;87.8313
S;SUL;2026-04-18;2531.582;38.7043;2088.751;31.9341
SE;SUDESTE;2026-04-18;44196.492;80.5744;38305.856;69.8352
N;NORTE;2026-04-19;19714.869;72.5522;13159.027;48.4262
NE;NORDESTE;2026-04-19;9449.063;83.0985;9435.478;82.9791
S;SUL;2026-04-19;2401.227;36.7114;1938.487;29.6367
SE;SUDESTE;2026-04-19;43482.387;79.2725;37565.171;68.4849
N;NORTE;2026-04-20;20058.532;73.8169;13298.363;48.939
NE;NORDESTE;2026-04-20;8852.892;77.8556;8830.012;77.6544
S;SUL;2026-04-20;2333.075;35.6694;2016.101;30.8233
SE;SUDESTE;2026-04-20;42747.081;77.932;36601.463;66.7279
N;NORTE;2026-04-21;20773.008;76.4462;13649.61;50.2316
NE;NORDESTE;2026-04-21;8254.075;72.5894;8231.91;72.3945
S;SUL;2026-04-21;2377.756;36.3525;2113.558;32.3133
SE;SUDESTE;2026-04-21;41869.067;76.3313;35445.038;64.6197
N;NORTE;2026-04-22;21478.848;79.0438;13754.084;50.6161
NE;NORDESTE;2026-04-22;7703.454;67.747;7682.004;67.5584
S;SUL;2026-04-22;2335.546;35.7072;2023.056;30.9297
SE;SUDESTE;2026-04-22;41297.325;75.289;34853.106;63.5405
N;NORTE;2026-04-23;22014.272;81.0142;12310.534;45.3037
NE;NORDESTE;2026-04-23;7226.484;63.5524;7210.039;63.4077
S;SUL;2026-04-23;2336.879;35.7276;2049.427;31.3329
SE;SUDESTE;2026-04-23;40580.313;73.9818;33905.131;61.8123
N;NORTE;2026-04-24;22623.937;83.2578;11294.23;41.5636
NE;NORDESTE;2026-04-24;6808.749;59.8786;6770.139;59.5391
S;SUL;2026-04-24;2693.686;41.1827;2268.591;34.6836
SE;SUDESTE;2026-04-24;39906.85;72.754;34016.352;62.015
N;NORTE;2026-04-25;23138.625;85.1519;12587.295;46.3222
NE;NORDESTE;2026-04-25;6614.649;58.1717;6591.054;57.9642
S;SUL;2026-04-25;3217.819;49.1959;2718.491;41.5619
SE;SUDESTE;2026-04-25;39148.631;71.3717;33075.101;60.2991
N;NORTE;2026-04-26;23138.097;85.1499;12444.166;45.7955
NE;NORDESTE;2026-04-26;6547.953;57.5851;6529.363;57.4216
S;SUL;2026-04-26;4028.881;61.5959;3357.81;51.3362
SE;SUDESTE;2026-04-26;38305.162;69.834;31522.214;57.468
N;NORTE;2026-04-27;22961.533;84.5002;12725.954;46.8325
NE;NORDESTE;2026-04-27;6480.839;56.9949;6461.534;56.8251
S;SUL;2026-04-27;4520.534;69.1126;3964.945;60.6184
SE;SUDESTE;2026-04-27;37695.202;68.7219;32396.108;59.0612
N;NORTE;2026-04-28;22661.683;83.3967;13164.118;48.4449
NE;NORDESTE;2026-04-28;6336.218;55.723;6317.628;55.5596
S;SUL;2026-04-28;4832.048;73.8752;4390.465;67.124
SE;SUDESTE;2026-04-28;37087.668;67.6143;31780.746;57.9393
N;NORTE;2026-04-29;22507.269;82.8284;14011.426;51.5631
NE;NORDESTE;2026-04-29;6132.958;53.9355;6109.363;53.728
S;SUL;2026-04-29;6645.202;101.5958;6316.035;96.5633
SE;SUDESTE;2026-04-29;36592.678;66.7119;31019.886;56.5522
N;NORTE;2026-04-30;22188.129;81.654;14518.547;53.4293
NE;NORDESTE;2026-04-30;5915.903;52.0266;5895.883;51.8506
S;SUL;2026-04-30;9272.763;141.7675;8942.207;136.7138
SE;SUDESTE;2026-04-30;36253.38;66.0934;30463.88;55.5386
N;NORTE;2026-05-01;21779.878;106.3684;14174.261;69.2242
NE;NORDESTE;2026-05-01;5692.155;82.8393;5674.995;82.5896
S;SUL;2026-05-01;9286.651;108.0768;8832.71;102.7939
SE;SUDESTE;2026-05-01;36180.844;90.6402;30517.935;76.4535
N;NORTE;2026-05-02;21286.778;103.9602;13646.131;66.6449
NE;NORDESTE;2026-05-02;5469.835;79.6038;5444.095;79.2292
S;SUL;2026-05-02;11227.101;130.6595;10590.485;123.2506
SE;SUDESTE;2026-05-02;36143.354;90.5463;30357.328;76.0511
N;NORTE;2026-05-03;20770.26;101.4377;13061.679;63.7906
NE;NORDESTE;2026-05-03;5193.846;75.5873;5157.381;75.0566
S;SUL;2026-05-03;12075.001;140.5272;11307.962;131.6005
SE;SUDESTE;2026-05-03;35817.163;89.7291;29688.735;74.3762
N;NORTE;2026-05-04;20381.527;99.5392;12987.673;63.4291
NE;NORDESTE;2026-05-04;4860.567;70.737;4843.407;70.4873
S;SUL;2026-05-04;12136.699;141.2452;11387.776;132.5294
SE;SUDESTE;2026-05-04;35563.348;89.0933;30299.082;75.9052
N;NORTE;2026-05-05;19909.804;97.2354;13192.31;64.4285
NE;NORDESTE;2026-05-05;4594.905;66.8708;4579.89;66.6522
S;SUL;2026-05-05;11693.083;136.0825;11170.998;130.0065
SE;SUDESTE;2026-05-05;35116.516;87.9739;30434.243;76.2438
N;NORTE;2026-05-06;19470.408;95.0895;13128.793;64.1183
NE;NORDESTE;2026-05-06;4387.248;63.8487;4364.369;63.5157
S;SUL;2026-05-06;10030.275;116.731;9712.241;113.0297
SE;SUDESTE;2026-05-06;34416.901;86.2212;30995.834;77.6507
N;NORTE;2026-05-07;18964.979;92.6211;13392.17;65.4046
NE;NORDESTE;2026-05-07;4188.593;60.9576;4167.858;60.6558
S;SUL;2026-05-07;9036.964;105.1709;8807.996;102.5063
SE;SUDESTE;2026-05-07;33659.376;84.3234;30116.245;75.4472
N;NORTE;2026-05-08;18602.599;90.8513;13565.336;66.2503
NE;NORDESTE;2026-05-08;4025.244;58.5803;4013.089;58.4035
S;SUL;2026-05-08;9102.878;105.938;8826.533;102.722
SE;SUDESTE;2026-05-08;33043.932;82.7816;30736.218;77.0003
N;NORTE;2026-05-09;18263.567;89.1955;13393.535;65.4113
NE;NORDESTE;2026-05-09;3844.55;55.9507;3828.82;55.7217
S;SUL;2026-05-09;9899.476;115.2087;9553.67;111.1843
SE;SUDESTE;2026-05-09;32736.979;82.0126;30048.103;75.2765
N;NORTE;2026-05-10;17910.562;87.4715;13159.418;64.2679
NE;NORDESTE;2026-05-10;3699.029;53.8329;3679.01;53.5415
S;SUL;2026-05-10;10809.654;125.8013;9986.951;116.2268
SE;SUDESTE;2026-05-10;32962.285;82.5771;29525.521;73.9673
N;NORTE;2026-05-11;17459.894;85.2705;13418.881;65.5351
NE;NORDESTE;2026-05-11;3591.476;52.2676;3576.461;52.0491
S;SUL;2026-05-11;10529.664;122.5428;9861.11;114.7622
SE;SUDESTE;2026-05-11;34184.628;85.6393;31270.772;78.3395
N;NORTE;2026-05-12;17169.704;83.8533;13653.534;66.681
NE;NORDESTE;2026-05-12;3499.901;50.9349;3475.591;50.5811
S;SUL;2026-05-12;9717.881;113.0954;9052.556;105.3524
SE;SUDESTE;2026-05-12;35913.314;89.97;32411.531;81.1973
N;NORTE;2026-05-13;16943.304;82.7476;11804.139;57.649
NE;NORDESTE;2026-05-13;3554.665;51.7319;3532.5;51.4093
S;SUL;2026-05-13;8984.161;104.5564;8378.679;97.5099
SE;SUDESTE;2026-05-13;36950.361;92.568;33239.892;83.2725
N;NORTE;2026-05-14;16795.375;82.0252;10415.515;50.8672
NE;NORDESTE;2026-05-14;3660.427;53.2711;3641.122;52.9901
S;SUL;2026-05-14;8645.95;100.6204;8217.434;95.6334
SE;SUDESTE;2026-05-14;36975.272;92.6304;33652.024;84.305
N;NORTE;2026-05-15;16653.579;81.3327;10912.066;53.2923
NE;NORDESTE;2026-05-15;3623.77;52.7376;3605.895;52.4775
S;SUL;2026-05-15;8452.813;98.3727;8109.708;94.3797
SE;SUDESTE;2026-05-15;36499.466;91.4384;33393.837;83.6582
N;NORTE;2026-05-16;16389.309;80.042;12213.167;59.6466
NE;NORDESTE;2026-05-16;3587.074;52.2036;3567.769;51.9226
S;SUL;2026-05-16;8682.154;101.0417;8233.215;95.817
SE;SUDESTE;2026-05-16;35933.365;90.0202;32363.533;81.0771
N;NORTE;2026-05-17;16007.384;78.1768;12812.497;62.5736
NE;NORDESTE;2026-05-17;3542.29;51.5518;3531.565;51.3957
S;SUL;2026-05-17;9061.719;105.459;8540.191;99.3896
SE;SUDESTE;2026-05-17;35524.977;88.9971;31281.548;78.3665
N;NORTE;2026-05-18;15552.765;75.9565;13074.831;63.8548
NE;NORDESTE;2026-05-18;3395.123;49.41;3372.243;49.0771
S;SUL;2026-05-18;9168.612;106.7031;8594.187;100.018
SE;SUDESTE;2026-05-18;35372.682;88.6156;33392.7;83.6553
N;NORTE;2026-05-19;15014.454;73.3275;12924.745;63.1218
NE;NORDESTE;2026-05-19;3297.121;47.9838;3271.381;47.6092
S;SUL;2026-05-19;8873.836;103.2725;8184.848;95.2541
SE;SUDESTE;2026-05-19;35517.195;88.9776;33294.054;83.4082
N;NORTE;2026-05-20;14545.7;71.0382;12601.678;61.544
NE;NORDESTE;2026-05-20;3265.19;47.5191;3238.02;47.1237
S;SUL;2026-05-20;8314.112;96.7585;7468.697;86.9197
SE;SUDESTE;2026-05-20;35525.87;88.9994;32786.103;82.1357
N;NORTE;2026-05-21;14008.887;68.4165;12093.316;59.0613
NE;NORDESTE;2026-05-21;3225.475;46.9411;3199.02;46.5561
S;SUL;2026-05-21;8010.305;93.2228;7367.04;85.7366
SE;SUDESTE;2026-05-21;35576.506;89.1262;32781.157;82.1233
N;NORTE;2026-05-22;13479.965;65.8334;11641.356;56.854
NE;NORDESTE;2026-05-22;3158.729;45.9697;3135.134;45.6264
S;SUL;2026-05-22;7711.612;89.7467;7095.034;82.571
SE;SUDESTE;2026-05-22;35485.957;88.8994;33261.827;83.3275
N;NORTE;2026-05-23;12943.697;63.2144;11242.083;54.904
NE;NORDESTE;2026-05-23;3066.816;44.6321;3040.361;44.2471
S;SUL;2026-05-23;7676.687;89.3402;6816.714;79.332
SE;SUDESTE;2026-05-23;35105.57;87.9464;32314.31;80.9538
N;NORTE;2026-05-24;12441.4;60.7612;10809.047;52.7892
NE;NORDESTE;2026-05-24;2967.827;43.1915;2941.372;42.8065
S;SUL;2026-05-24;7769.351;90.4186;6914.894;80.4746
SE;SUDESTE;2026-05-24;34512.099;86.4597;30922.062;77.4659
N;NORTE;2026-05-25;11893.168;58.0838;10458.653;51.0779
NE;NORDESTE;2026-05-25;2886.044;42.0013;2861.734;41.6475
S;SUL;2026-05-25;8196.027;95.3842;7665.997;89.2158
SE;SUDESTE;2026-05-25;33974.043;85.1117;31441.463;78.7671
N;NORTE;2026-05-26;11299.546;55.1847;9997.6;48.8262
NE;NORDESTE;2026-05-26;2827.251;41.1457;2802.941;40.7919
S;SUL;2026-05-26;9591.717;111.6271;9185.834;106.9035
SE;SUDESTE;2026-05-26;33468.36;83.8449;31142.604;78.0184
N;NORTE;2026-05-27;10801.702;52.7533;9606.701;46.9171
NE;NORDESTE;2026-05-27;2780.387;40.4636;2755.362;40.0994
S;SUL;2026-05-27;11204.836;130.4003;10698.104;124.5031
SE;SUDESTE;2026-05-27;33007.123;82.6894;31170.043;78.0872
N;NORTE;2026-05-28;10333.72;50.4678;9159.805;44.7346
NE;NORDESTE;2026-05-28;2764.108;40.2267;2742.658;39.9146
S;SUL;2026-05-28;11856.082;137.9795;11451.779;133.2742
SE;SUDESTE;2026-05-28;32429.528;81.2424;31167.723;78.0813
N;NORTE;2026-05-29;9939.26;48.5413;8865.964;43.2995
NE;NORDESTE;2026-05-29;2773.611;40.365;2749.301;40.0112
S;SUL;2026-05-29;10906.512;126.9285;10545.26;122.7243
SE;SUDESTE;2026-05-29;31823.187;79.7234;30843.7;77.2696
N;NORTE;2026-05-30;9625.409;47.0085;8645.982;42.2252
NE;NORDESTE;2026-05-30;2799.535;40.7423;2774.51;40.3781
S;SUL;2026-05-30;10021.123;116.6245;9481.498;110.3444
SE;SUDESTE;2026-05-30;31201.111;78.165;29452.532;73.7844
N;NORTE;2026-05-31;9342.174;45.6253;8263.152;40.3555
NE;NORDESTE;2026-05-31;2819.455;41.0322;2794.43;40.668
S;SUL;2026-05-31;9375.705;109.1132;8895.539;103.5251
SE;SUDESTE;2026-05-31;30593.275;76.6422;27887.276;69.8632
N;NORTE;2026-06-01;9006.266;84.416;8059.069;75.5379
NE;NORDESTE;2026-06-01;2822.72;62.2355;2799.125;61.7152
S;SUL;2026-06-01;8838.082;83.5936;8506.244;80.455
SE;SUDESTE;2026-06-01;29948.635;91.8931;28378.661;87.0759
N;NORTE;2026-06-02;8751.511;82.0282;7803.652;73.1439
NE;NORDESTE;2026-06-02;2803.031;61.8014;2779.436;61.2811
S;SUL;2026-06-02;8010.198;75.7632;7789.943;73.6799
SE;SUDESTE;2026-06-02;29391.348;90.1831;28088.608;86.1859
N;NORTE;2026-06-03;8481.433;79.4968;7618.828;71.4115
NE;NORDESTE;2026-06-03;2790.738;61.5303;2766.428;60.9943
S;SUL;2026-06-03;7270.416;68.7661;7066.147;66.834
SE;SUDESTE;2026-06-03;28808.947;88.3961;27533.189;84.4817
N;NORTE;2026-06-04;8196.853;76.8294;7287.967;68.3104
NE;NORDESTE;2026-06-04;2766.123;60.9876;2740.383;60.4201
S;SUL;2026-06-04;6599.678;62.422;6298.339;59.5718
SE;SUDESTE;2026-06-04;28267.643;86.7352;26579.49;81.5554
N;NORTE;2026-06-05;7931.498;74.3422;7152.886;67.0442
NE;NORDESTE;2026-06-05;2817.177;62.1133;2787.862;61.4669
S;SUL;2026-06-05;5998.714;56.7379;5798.911;54.8481
SE;SUDESTE;2026-06-05;27646.889;84.8305;26032.633;79.8774
N;NORTE;2026-06-06;7637.548;71.587;6719.785;62.9848
NE;NORDESTE;2026-06-06;2848.783;62.8101;2820.898;62.1953
S;SUL;2026-06-06;5538.884;52.3887;5228.74;49.4552
SE;SUDESTE;2026-06-06;26133.673;80.1874;24531.443;75.2712
N;NORTE;2026-06-07;7442.064;69.7547;6441.287;60.3744
NE;NORDESTE;2026-06-07;2808.408;61.9199;2782.668;61.3524
S;SUL;2026-06-07;5250.519;49.6612;4939.004;46.7148
SE;SUDESTE;2026-06-07;26014.48;79.8217;23747.441;72.8656
N;NORTE;2026-06-08;7360.944;68.9944;6617.065;62.022
NE;NORDESTE;2026-06-08;2769.556;61.0633;2745.961;60.5431
S;SUL;2026-06-08;5138.021;48.5972;4856.943;45.9386
SE;SUDESTE;2026-06-08;25658.328;78.7289;24345.231;74.6999
N;NORTE;2026-06-09;7267.379;68.1174;6539.979;61.2994
NE;NORDESTE;2026-06-09;2701.399;60.2153;2677.089;59.6734
S;SUL;2026-06-09;5019.37;47.4749;4732.326;44.76
SE;SUDESTE;2026-06-09;25265.772;77.5872;23900.563;73.3949
